[2026-05-25T05:07:13.822Z] GET http://localhost:3000/ → 200 (12ms, 9826B)
[2026-05-25T05:07:13.839Z] GET http://localhost:3000/_next/static/chunks/webpack.js → 200 (11ms, 47755B)
[2026-05-25T05:07:13.839Z] GET http://localhost:3000/_next/static/chunks/main.js → 200 (68ms, 5053545B)
[2026-05-25T05:07:13.839Z] GET http://localhost:3000/_next/static/chunks/pages/_app.js → 200 (14ms, 168747B)
[2026-05-25T05:07:13.840Z] GET http://localhost:3000/_next/static/chunks/pages/index.js → 200 (12ms, 115201B)
[2026-05-25T05:07:13.840Z] GET http://localhost:3000/_next/static/development/_buildManifest.js → 200 (9ms, 296B)
[2026-05-25T05:07:13.840Z] GET http://localhost:3000/_next/static/development/_ssgManifest.js → 200 (10ms, 76B)
[2026-05-25T05:07:13.840Z] GET http://localhost:3000/_next/static/chunks/react-refresh.js → 200 (9ms, 78963B)
[2026-05-25T05:07:13.978Z] GET http://localhost:3000/_next/static/development/_devMiddlewareManifest.json → 200 (70ms, 2B)
[2026-05-25T05:08:16.121Z] POST http://localhost:3000/api/chat → pending (?ms, ?B)
[2026-05-25T05:13:59.039Z] GET http://localhost:3000/_next/static/webpack/168e5f9c03d843ee.webpack.hot-update.json → 200 (12ms, 45B)
[2026-05-25T05:13:59.052Z] GET http://localhost:3000/_next/static/webpack/pages/index.168e5f9c03d843ee.hot-update.js → 200 (15ms, 111443B)
[2026-05-25T05:13:59.052Z] GET http://localhost:3000/_next/static/webpack/webpack.168e5f9c03d843ee.hot-update.js → 200 (9ms, 858B)
[2026-05-25T05:14:04.549Z] GET http://localhost:3000/_next/static/webpack/3373af3977e1c0dc.webpack.hot-update.json → 200 (4ms, 45B)
[2026-05-25T05:14:04.553Z] GET http://localhost:3000/_next/static/webpack/pages/index.3373af3977e1c0dc.hot-update.js → 200 (10ms, 111666B)
[2026-05-25T05:14:04.553Z] GET http://localhost:3000/_next/static/webpack/webpack.3373af3977e1c0dc.hot-update.js → 200 (6ms, 858B)
[2026-05-25T05:14:10.422Z] GET http://localhost:3000/_next/static/webpack/0e556823d8d654f1.webpack.hot-update.json → 200 (4ms, 45B)
[2026-05-25T05:14:10.427Z] GET http://localhost:3000/_next/static/webpack/pages/index.0e556823d8d654f1.hot-update.js → 200 (8ms, 111928B)
[2026-05-25T05:14:10.427Z] GET http://localhost:3000/_next/static/webpack/webpack.0e556823d8d654f1.hot-update.js → 200 (3ms, 858B)
[2026-05-25T05:14:14.959Z] GET http://localhost:3000/_next/static/webpack/82e1b9135b4f595a.webpack.hot-update.json → 200 (4ms, 45B)
[2026-05-25T05:14:14.964Z] GET http://localhost:3000/_next/static/webpack/pages/index.82e1b9135b4f595a.hot-update.js → 200 (10ms, 112180B)
[2026-05-25T05:14:14.964Z] GET http://localhost:3000/_next/static/webpack/webpack.82e1b9135b4f595a.hot-update.js → 200 (4ms, 858B)
[2026-05-25T05:14:22.683Z] GET http://localhost:3000/_next/static/webpack/8b83e1490a9647ff.webpack.hot-update.json → 200 (3ms, 45B)
[2026-05-25T05:14:22.686Z] GET http://localhost:3000/_next/static/webpack/pages/index.8b83e1490a9647ff.hot-update.js → 200 (10ms, 112180B)
[2026-05-25T05:14:22.686Z] GET http://localhost:3000/_next/static/webpack/webpack.8b83e1490a9647ff.hot-update.js → 200 (5ms, 858B)
[2026-05-25T05:14:34.394Z] GET http://localhost:3000/_next/static/webpack/e0d14ae6c374b336.webpack.hot-update.json → 200 (2ms, 45B)
[2026-05-25T05:14:34.397Z] GET http://localhost:3000/_next/static/webpack/pages/index.e0d14ae6c374b336.hot-update.js → 200 (5ms, 112090B)
[2026-05-25T05:14:34.397Z] GET http://localhost:3000/_next/static/webpack/webpack.e0d14ae6c374b336.hot-update.js → 200 (3ms, 858B)
[2026-05-25T05:14:40.510Z] GET http://localhost:3000/_next/static/webpack/1d9a073af1f1e82f.webpack.hot-update.json → 200 (3ms, 45B)
[2026-05-25T05:14:40.515Z] GET http://localhost:3000/_next/static/webpack/pages/index.1d9a073af1f1e82f.hot-update.js → 200 (7ms, 112004B)
[2026-05-25T05:14:40.515Z] GET http://localhost:3000/_next/static/webpack/webpack.1d9a073af1f1e82f.hot-update.js → 200 (3ms, 858B)
[2026-05-25T05:14:44.540Z] GET http://localhost:3000/_next/static/webpack/1a1e24a41deb8018.webpack.hot-update.json → 200 (2ms, 45B)
[2026-05-25T05:14:44.543Z] GET http://localhost:3000/_next/static/webpack/pages/index.1a1e24a41deb8018.hot-update.js → 200 (5ms, 111998B)
[2026-05-25T05:14:44.543Z] GET http://localhost:3000/_next/static/webpack/webpack.1a1e24a41deb8018.hot-update.js → 200 (2ms, 858B)
[2026-05-25T05:14:50.044Z] GET http://localhost:3000/_next/static/webpack/e843e6b05e7cc796.webpack.hot-update.json → 200 (2ms, 45B)
[2026-05-25T05:14:50.046Z] GET http://localhost:3000/_next/static/webpack/pages/index.e843e6b05e7cc796.hot-update.js → 200 (4ms, 112162B)
[2026-05-25T05:14:50.046Z] GET http://localhost:3000/_next/static/webpack/webpack.e843e6b05e7cc796.hot-update.js → 200 (3ms, 858B)
[2026-05-25T05:15:04.766Z] GET http://localhost:3000/_next/static/webpack/eeff01fa8688641a.webpack.hot-update.json → 200 (3ms, 45B)
[2026-05-25T05:15:04.770Z] GET http://localhost:3000/_next/static/webpack/pages/index.eeff01fa8688641a.hot-update.js → 200 (6ms, 113446B)
[2026-05-25T05:15:04.770Z] GET http://localhost:3000/_next/static/webpack/webpack.eeff01fa8688641a.hot-update.js → 200 (2ms, 858B)
[2026-05-25T05:15:14.792Z] GET http://localhost:3000/_next/static/webpack/e3e3ce43c8118227.webpack.hot-update.json → 200 (2ms, 45B)
[2026-05-25T05:15:14.794Z] GET http://localhost:3000/_next/static/webpack/pages/index.e3e3ce43c8118227.hot-update.js → 200 (4ms, 113637B)
[2026-05-25T05:15:14.794Z] GET http://localhost:3000/_next/static/webpack/webpack.e3e3ce43c8118227.hot-update.js → 200 (1ms, 858B)
[2026-05-25T05:15:20.116Z] GET http://localhost:3000/_next/static/webpack/dee1aa88cf991488.webpack.hot-update.json → 200 (3ms, 45B)
[2026-05-25T05:15:20.119Z] GET http://localhost:3000/_next/static/webpack/pages/index.dee1aa88cf991488.hot-update.js → 200 (6ms, 114015B)
